AppID;Name;Metacritic score;Metacritic url;User score;Positive;Negative;Score rank;Recommendations
20200;Galactic Bowling;0;;0;6;11;;0
655370;Train Bandit;0;;0;53;5;;0
1732930;Jolt Project;0;;0;0;0;;0
1355720;Henosis™;0;;0;3;0;;0
1139950;Two Weeks in Painland;0;;0;50;8;;0
1469160;Wartune Reborn;0;;0;87;49;;0
1659180;TD Worlds;0;;0;21;7;;0
1968760;Legend of Rome - The Wrath of Mars;0;;0;0;0;;0
1178150;MazM: Jekyll and Hyde;0;;0;76;6;;0
320150;Deadlings: Rotten Edition;0;;0;225;45;;0
1026420;WARSAW;62;https://www.metacritic.com/game/pc/warsaw?ftag=MCD-06-10aaa1f;0;589;212;;427
485000;Cthulhu Realms;0;;0;147;58;;0
1620060;Clockwork Dungeon;0;;0;5;0;;0
825930;Royal Battleships;0;;0;36;11;;0
1454010;Diary of Lucie;0;;0;100;5;;0
22670;Alien Breed 3: Descent;64;https://www.metacritic.com/game/pc/alien-breed-3-descent?ftag=MCD-06-10aaa1f;0;349;134;;285
1330820;Hunting Unlimited 3;0;;0;17;0;;0
346560;Hero of the Kingdom II;0;;0;2046;120;;1615
1097880;Super Naughty Maid 2;0;;0;0;0;;1144
1362670;KHIO;0;;0;3;1;;0
290870;Steam Squad;0;;0;61;29;;0
575760;Project: R.E.B.O.O.T 2;0;;0;29;28;;0
434030;Aerofly FS 2 Flight Simulator;0;;0;1490;408;;1831
810740;Turtle Lu;0;;0;4;10;;0
2073470;Kanjozoku Game レーサー;0;;0;392;57;;493
589250;PowersVR;0;;0;37;22;;0
677880;Draw Your Game;0;;0;18;50;;0
1294780;Pathfinders: Memories;0;;0;38;4;;0
1342850;Bright Days in Quarantine;0;;0;24;5;;0
1177420;邻居大叔/UncleNeighbor:uncle Dating Simulator;0;;0;0;0;;668
793990;Dupio;0;;0;23;18;;0
1727670;Home Office Tasker;0;;0;11;4;;0
955490;Terror In The Atomic Desert;0;;0;8;4;;0
552350;Unhappy Ever After;0;;0;16;10;;0
42500;DogFighter;0;;0;258;166;;210
1195610;March Of Soldiers;0;;0;1;0;;0
1095380;Bepuzzled Kittens Jigsaw Puzzle;0;;0;7;2;;0
1158910;Dream Detective;0;;0;16;8;;0
1194940;Tower of Shades;0;;0;35;8;;0
262150;Vanguard Princess;0;;0;2014;841;;1477
1192900;IRON REBELLION;0;;0;168;39;;186
866150;Treasures of the Ancients: Egypt;0;;0;55;91;;0
231330;Deadfall Adventures;53;https://www.metacritic.com/game/pc/deadfall-adventures?ftag=MCD-06-10aaa1f;0;1716;628;;1140
1056520;Who We Are Now;0;;0;0;0;;0
897820;Reigns: Game of Thrones;84;https://www.metacritic.com/game/pc/reigns-game-of-thrones?ftag=MCD-06-10aaa1f;0;698;203;;815
